QE,AA,AAS_VIEWED_BY_QE,QE_AND_AA_APPENDED
HIXNY,00002,00002,HIXNY|00002
HIXNY,1992866990SA,1992866990SA,HIXNY|1992866990SA
BRONX,2.16.840.1.113883.13.61.200.24.2,2.16.840.1.113883.13.61.200.24.2,BRONX|2.16.840.1.113883.13.61.200.24.2
GRRHIO,2.16.840.1.113883.3.,2.16.840.1.113883.3.,GRRHIO|2.16.840.1.113883.3.
BRONX,2.16.840.1.113883.3.3301,2.16.840.1.113883.3.3301,BRONX|2.16.840.1.113883.3.3301
BRONX,2.16.840.1.113883.3.3388.1.1.1.1108158322.3,2.16.840.1.113883.3.3388.1.1.1.1108158322.3,BRONX|2.16.840.1.113883.3.3388.1.1.1.1108158322.3
BRONX,2.16.840.1.113883.3.3388.1.1.1.1657052269.3,2.16.840.1.113883.3.3388.1.1.1.1657052269.3,BRONX|2.16.840.1.113883.3.3388.1.1.1.1657052269.3
BRONX,2.16.840.1.113883.3.3388.1.1.1.1718156356.3,2.16.840.1.113883.3.3388.1.1.1.1718156356.3,BRONX|2.16.840.1.113883.3.3388.1.1.1.1718156356.3
BRONX,2.16.840.1.113883.3.3388.1.1.1.1734922194.3,2.16.840.1.113883.3.3388.1.1.1.1734922194.3,BRONX|2.16.840.1.113883.3.3388.1.1.1.1734922194.3
GRRHIO,2.16.840.1.113883.3.458.1.1.3,2.16.840.1.113883.3.458.1.1.3,GRRHIO|2.16.840.1.113883.3.458.1.1.3
BRONX,2.16.840.1.113883.3.564.14448,2.16.840.1.113883.3.564.14448,BRONX|2.16.840.1.113883.3.564.14448
BRONX,2.16.840.1.113883.3.8018,2.16.840.1.113883.3.8018,BRONX|2.16.840.1.113883.3.8018
BRONX,2.16.840.1.113883.4.391.192.11038,2.16.840.1.113883.4.391.192.11038,BRONX|2.16.840.1.113883.4.391.192.11038
BRONX,2.16.840.1.113883.4.391.192.19102,2.16.840.1.113883.4.391.192.19102,BRONX|2.16.840.1.113883.4.391.192.19102
BRONX,2.16.840.1.113883.4.391.89.1410,2.16.840.1.113883.4.391.89.1410,BRONX|2.16.840.1.113883.4.391.89.1410
BRONX,2.16.840.1.113883.4.391.89.311030,2.16.840.1.113883.4.391.89.311030,BRONX|2.16.840.1.113883.4.391.89.311030
BRONX,2.16.840.1.113883.4.391.89.31310,2.16.840.1.113883.4.391.89.31310,BRONX|2.16.840.1.113883.4.391.89.31310
BRONX,2.16.840.1.113883.4.391.89.3969,2.16.840.1.113883.4.391.89.3969,BRONX|2.16.840.1.113883.4.391.89.3969
BRONX,2.16.840.1.113883.4.391.89.4015,2.16.840.1.113883.4.391.89.4015,BRONX|2.16.840.1.113883.4.391.89.4015
BRONX,2.16.840.1.113883.4.391.89.4104,2.16.840.1.113883.4.391.89.4104,BRONX|2.16.840.1.113883.4.391.89.4104
BRONX,2.16.840.1.113883.4.391.89.6196,2.16.840.1.113883.4.391.89.6196,BRONX|2.16.840.1.113883.4.391.89.6196
BRONX,2.16.840.1.113883.4.391.89.6928,2.16.840.1.113883.4.391.89.6928,BRONX|2.16.840.1.113883.4.391.89.6928
BRONX,2.16.840.1.113883.4.391.89.8081,2.16.840.1.113883.4.391.89.8081,BRONX|2.16.840.1.113883.4.391.89.8081
BRONX,2.16.840.1.113883.4.391.89.8637,2.16.840.1.113883.4.391.89.8637,BRONX|2.16.840.1.113883.4.391.89.8637
GRRHIO,2.16.840.1.113883.4.6.1003010265,2.16.840.1.113883.4.6.1003010265,GRRHIO|2.16.840.1.113883.4.6.1003010265
HIXNY,201270,201270,HIXNY|201270
HIXNY,20670,20670,HIXNY|20670
HIXNY,208290,208290,HIXNY|208290
BRONX,21,21,BRONX|21
HECDCS,21-READE-PLACE,21-READE-PLACE,HECDCS|21-READE-PLACE
HIXNY,210720,210720,HIXNY|210720
HIXNY,22211,22211,HIXNY|22211
HIXNY,227180,227180,HIXNY|227180
HIXNY,227650,227650,HIXNY|227650
HIXNY,22829SA,22829SA,HIXNY|22829SA
HIXNY,22860,22860,HIXNY|22860
HIXNY,23141,23141,HIXNY|23141
HIXNY,23146,23146,HIXNY|23146
HIXNY,2469,2469,HIXNY|2469
HIXNY,249,249,HIXNY|249
HIXNY,252850,252850,HIXNY|252850
HIXNY,252890,252890,HIXNY|252890
HIXNY,254,254,HIXNY|254
HIXNY,254190,254190,HIXNY|254190
HIXNY,257700,257700,HIXNY|257700
HIXNY,26491,26491,HIXNY|26491
HIXNY,28317,28317,HIXNY|28317
HIXNY,2904,2904,HIXNY|2904
HIXNY,2904ALERT,2904ALERT,HIXNY|2904ALERT
HIXNY,303518ALERT,303518ALERT,HIXNY|303518ALERT
HIXNY,305922,305922,HIXNY|305922
HIXNY,312426,312426,HIXNY|312426
HIXNY,3162,3162,HIXNY|3162
HIXNY,3169,3169,HIXNY|3169
HIXNY,325878,325878,HIXNY|325878
HIXNY,325878ALERT,325878ALERT,HIXNY|325878ALERT
HIXNY,32763,32763,HIXNY|32763
HIXNY,3682,3682,HIXNY|3682
HIXNY,3747,3747,HIXNY|3747
HIXNY,400082,400082,HIXNY|400082
HEALTHIX,43STFP,43STFP,HEALTHIX|43STFP
BRONX,48,48,BRONX|48
HIXNY,4965,4965,HIXNY|4965
HIXNY,4965ALERTS,4965ALERTS,HIXNY|4965ALERTS
HIXNY,4965HRSN,4965HRSN,HIXNY|4965HRSN
HIXNY,4965MONITOR,4965MONITOR,HIXNY|4965MONITOR
HIXNY,4965OMH,4965OMH,HIXNY|4965OMH
HIXNY,4965PART2,4965PART2,HIXNY|4965PART2
HIXNY,5353,5353,HIXNY|5353
HIXNY,5353ALERT,5353ALERT,HIXNY|5353ALERT
HIXNY,5355,5355,HIXNY|5355
HEALTHIX,54MSMP,54MSMP,HEALTHIX|54MSMP
HIXNY,5890,5890,HIXNY|5890
HEALTHIX,58STREETRX,58STREETRX,HEALTHIX|58STREETRX
HIXNY,6122,6122,HIXNY|6122
HIXNY,6199,6199,HIXNY|6199
HIXNY,6199ALERT,6199ALERT,HIXNY|6199ALERT
HIXNY,6293,6293,HIXNY|6293
HIXNY,6714,6714,HIXNY|6714
TXD,716HM,716HM,TXD|716HM
HIXNY,7343,7343,HIXNY|7343
HIXNY,7417,7417,HIXNY|7417
HEALTHIX,786M,786M,HEALTHIX|786M
HIXNY,8038,8038,HIXNY|8038
HIXNY,8435ALERT,8435ALERT,HIXNY|8435ALERT
HIXNY,8736,8736,HIXNY|8736
BRONX,9317_MEDICAL_OFFICE,9317 MEDICAL OFFICE,BRONX|9317 MEDICAL OFFICE
HIXNY,9344,9344,HIXNY|9344
HIXNY,9916ALERT,9916ALERT,HIXNY|9916ALERT
HECDCS,A-S-GILL,A-S-GILL,HECDCS|A-S-GILL
HIXNY,A2HACO,A2HACO,HIXNY|A2HACO
HIXNY,A2HBSNENY02,A2HBSNENY02,HIXNY|A2HBSNENY02
HIXNY,A2HHIGHMARK,A2HHIGHMARK,HIXNY|A2HHIGHMARK
HIXNY,A2HMCR,A2HMCR,HIXNY|A2HMCR
HIXNY,A2HMVP,A2HMVP,HIXNY|A2HMVP
HIXNY,A2HUHC,A2HUHC,HIXNY|A2HUHC
HEALTHIX,AACL,AACL,HEALTHIX|AACL
HEALTHIX,AACNY,AACNY,HEALTHIX|AACNY
GRRHIO,AALMD,AALMD,GRRHIO|AALMD
HEALTHIX,AAMDP,AAMDP,HEALTHIX|AAMDP
HEALTHIX,AAMED,AAMED,HEALTHIX|AAMED
HEALTHIX,AAMH,AAMH,HEALTHIX|AAMH
HEALTHIX,AANUJA,AANUJA,HEALTHIX|AANUJA
HEALTHIX,AAPM,AAPM,HEALTHIX|AAPM
HEALTHIX,AAZE,AAZE,HEALTHIX|AAZE
HEALTHIX,ABBOTTH,ABBOTTH,HEALTHIX|ABBOTTH
BRONX,ABBYDEK_FM,ABBYDEK FM,BRONX|ABBYDEK FM
