QE_NAME,SOURCE,smrn_count,AAAsViewedByQE,QEAndAAAppended
HEALTHIX,UPG,0,UPG,HEALTHIX|UPG
HEALTHIX,TBHC,0,TBHC,HEALTHIX|TBHC
HEALTHIX,NYPMSCHONY,0,NYPMSCHONY,HEALTHIX|NYPMSCHONY
HIXNY,GFHAMHS,0,GFHAMHS,HIXNY|GFHAMHS
HEALTHIX,CHNCHA,0,CHNCHA,HEALTHIX|CHNCHA
HECDCS,GARNET-HEALTH,0,GARNET-HEALTH,HECDCS|GARNET-HEALTH
HEALTHIX,SPEC,0,SPEC,HEALTHIX|SPEC
GRRHIO,TFM,0,TFM,GRRHIO|TFM
HEALTHIX,CCMG.DUPLICATE1,0,CCMG,HEALTHIX|CCMG
HEALTHIX,YLMP,0,YLMP,HEALTHIX|YLMP
HEALTHIX,RMHC,0,RMHC,HEALTHIX|RMHC
HIXNY,CMHDOC,0,CMHDOC,HIXNY|CMHDOC
TXD,WSTFP,0,WSTFP,TXD|WSTFP
HIXNY,UVMHNMONITOR,0,UVMHNMONITOR,HIXNY|UVMHNMONITOR
HIXNY,PAPLBIRTH,0,PAPLBIRTH,HIXNY|PAPLBIRTH
HEALTHIX,NYUHJD,0,NYUHJD,HEALTHIX|NYUHJD
GRRHIO,UR0129,0,UR0129,GRRHIO|UR0129
BRONX,RESEARCH_COHORT1,0,RESEARCH COHORT1,BRONX|RESEARCH COHORT1
BRONX,SOMOS_FIDELIS,0,SOMOS FIDELIS,BRONX|SOMOS FIDELIS
HEALTHIX,QMAC,0,QMAC,HEALTHIX|QMAC
TXD,WCCL,0,WCCL,TXD|WCCL
TXD,AUDBON,0,AUDBON,TXD|AUDBON
HECDCS,MHS-ROCH-EPIC,0,MHS-ROCH-EPIC,HECDCS|MHS-ROCH-EPIC
GRRHIO,FLR,0,FLR,GRRHIO|FLR
HEALTHIX,CHSLIHH,0,CHSLIHH,HEALTHIX|CHSLIHH
HIXNY,ADIR01DOC,0,ADIR01DOC,HIXNY|ADIR01DOC
GRRHIO,HEC.DUPLICATE,0,HEC,GRRHIO|HEC
HEALTHIX,CCMCN,0,CCMCN,HEALTHIX|CCMCN
HIXNY,1659865962,0,1659865962,HIXNY|1659865962
HEALTHIX,NYPLAWRENCE,0,NYPLAWRENCE,HEALTHIX|NYPLAWRENCE
HEALTHIX,SJMS,0,SJMS,HEALTHIX|SJMS
HEALTHIX,HPDC,0,HPDC,HEALTHIX|HPDC
HEALTHIX,ROEN,0,ROEN,HEALTHIX|ROEN
GRRHIO,AMSAC,0,AMSAC,GRRHIO|AMSAC
HEALTHIX,IKPED,0,IKPED,HEALTHIX|IKPED
TXD,RPCILB,0,RPCILB,TXD|RPCILB
HEALTHIX,ECWDBMD,0,ECWDBMD,HEALTHIX|ECWDBMD
HEALTHIX,AZHHHFQHC,0,AZHHHFQHC,HEALTHIX|AZHHHFQHC
GRRHIO,LMC.DUPLICATE,0,LMC,GRRHIO|LMC
HIXNY,SPVABFAM,0,SPVABFAM,HIXNY|SPVABFAM
GRRHIO,UR0215,0,UR0215,GRRHIO|UR0215
HEALTHIX,GPMP,0,GPMP,HEALTHIX|GPMP
GRRHIO,MBL,0,MBL,GRRHIO|MBL
HECDCS,ERIVER,0,ERIVER,HECDCS|ERIVER
TXD,WSTFLD,0,WSTFLD,TXD|WSTFLD
GRRHIO,UR1218,0,UR1218,GRRHIO|UR1218
HIXNY,AHMCEDDOC,0,AHMCEDDOC,HIXNY|AHMCEDDOC
